key,Artist,genre,dance,energy,loudness,speechiness,acoustic,live,valence,tempo,popularity,log_popularity
alone marshmello,Marshmello,Other,0.615257413736082,0.9562251857884556,0.8541574032903513,0.011287895076327667,0.02441369025709136,0.08930608858002281,0.4162810265039966,0.5724358458229334,742008.777777778,5.870409042904234
always do the kid laroi,The Kid LAROI,Hiphop,0.7596736853709625,0.41972920696324956,0.7672854602045353,0.09589335626746937,0.044778509891355005,0.06627943159423297,0.5845603702145561,0.721028537250256,763859.0,5.883013199971889
amor genuino ozuna,Ozuna,Pop,0.3980817991401168,0.30571108622620385,0.7418574922187638,0.036443775532143625,0.7963518036573636,0.14635411264391662,0.3374000841396718,0.7627244389744533,917941.0,5.96281476813166
angel fifth harmony,Fifth Harmony,Pop,0.7332157424760225,0.5205130815433167,0.7830424633170298,0.014298000430015051,0.003430833808056529,0.3413546312623172,0.1091712242322255,0.4690185072292067,560838.0,5.7488374319044055
angels like you miley cyrus,Miley Cyrus,Pop,0.6604563995149377,0.6396212969561234,0.8459315251222765,0.00806278219737691,0.09938864811457943,0.08100819417072919,0.49200673117374844,0.4573609082230069,833014.0,5.920652300412375
anpanman bts,BTS,Pop,0.8158968140227097,0.8768197088465846,0.8769175188972876,0.07310255858955064,0.02400842021461845,0.27600871278912975,0.7675641564997897,0.32521653113102295,702407.75,5.84658929470281
anywhere rita ora,Rita Ora,Pop,0.6235255208907508,0.7699277206556042,0.8191835260115607,0.042947753171361,0.03576125144633279,0.07556270096463023,0.32214976861590244,0.37075708255213424,1038963.01176471,6.016600086467261
asmr 21 savage,21 Savage,Hiphop,0.8456619997795172,0.5388374223760563,0.7430246776345042,0.48613201462051175,0.04042185693477124,0.09864121979047817,0.14177534707614642,0.7339111330933183,1293644.0,6.111814778568281
astrothunder travis scott,Travis Scott,Other,0.6913239995590342,0.45434185075842415,0.7326589595375722,0.04547409159320577,0.14386703527598108,0.09241779898350794,0.273243584350021,0.629435581269626,1026682.5,6.011436159452477
at my worst pink sweat$,Pink Sweat$,Other,0.8158968140227097,0.4085309986765754,0.7933803912850155,0.011932917652117825,0.7872332277017231,0.11316253500674205,0.673958771560791,0.2844810729361967,980973.285714286,5.99165718064718
aute cuture rosal„ça,ROSAL√çA,Other,0.743137471061625,0.6406393158912755,0.7637839039573143,0.16577080197806926,0.07659220822547831,0.34550357846696406,0.5382835506941523,0.33083541333578714,793736.0,5.899676078235317
ayala (outro) xxxtentacion,XXXTENTACION,Hiphop,0.548010142211443,0.2761885371067902,0.5655291240551357,0.015373038056331972,0.7467062234544323,0.08930608858002281,0.07477913336137988,0.23596429680580636,466809.0,5.669139220579541
b.i.t.c.h. megan thee stallion,Megan Thee Stallion,Rap,0.7376253996251791,0.7302249821846686,0.8368441529568696,0.30337561814663516,0.08621737173420989,0.11316253500674205,0.5477492637778714,0.7566397129021498,1012989.0,6.005604729402493
babushka boi a$ap rocky,A$AP Rocky,Rap,0.9107044427295778,0.7342970579252774,0.8053023566029346,0.21737260804128145,0.2943235385440483,0.12301628461777825,0.9337400084139672,0.5321461024396416,1016670.66666667,6.007180293323365
baby pluto lil uzi vert,Lil Uzi Vert,Rap,0.7706978282438541,0.6314771454749059,0.7885171187194309,0.20232208127284454,0.1367748095327052,0.42537081215641537,0.6781657551535549,0.6763132771253407,1172075.66666667,6.068955649698316
back in black ac/dc,AC/DC,Rock,0.26138242751626056,0.6986663951949506,0.8002723432636727,0.02494087293055257,0.01114109636610361,0.06316772119074784,0.7749263777871267,0.8392666122223629,735365.0,5.866502955600027
back to you selena gomez,Selena Gomez,Pop,0.5821849851174071,0.7241168685737555,0.8230324588706092,0.02687594065792303,0.09726098039159664,0.085157141375376,0.4983172065628944,0.34279207260262945,2773146.54545455,6.442972820245231
bad guy billie eilish,Billie Eilish,Pop,0.6924264138463234,0.48895449455359874,0.71103823921743,0.40120404214147504,0.12765623357706476,0.09449227258583134,0.653975599495162,0.5326665823163367,2089594.9875,6.320062117814878
bad luck khalid,Khalid,Pop,0.3958769705655385,0.5154229868675557,0.8048021342819031,0.03332616641582456,0.2806456746105877,0.12042319261487398,0.29112326461926796,0.6992891567650882,1681033.0,6.225576239065426
bad news kehlani,Kehlani,Pop,0.38926248484180354,0.40140486613051,0.8260337927967986,0.0218232638142335,0.12259035804615341,0.14220516543926978,0.024295330248212028,0.5161492540746961,699595.0,5.844846696918461
bad! xxxtentacion,XXXTENTACION,Hiphop,0.7795171425421674,0.4869184566832943,0.8635782570031125,0.04654912921952269,0.06514332952561865,0.15776371745669535,0.36579722339082876,0.5838979054279437,1474270.16666667,6.168577077241535
baila baila baila ozuna,Ozuna,Pop,0.8423547569176496,0.6233329939936882,0.8003835037794576,0.13781982369382928,0.05957086644161615,0.23866818794730837,0.5950778291964661,0.3308699202889382,1392820.13793103,6.143895037351879
bank account 21 savage,21 Savage,Hiphop,0.8941682284202404,0.338287692151074,0.729407514450867,0.3517523113308966,0.015295114301450922,0.06762783943574317,0.3679007151872108,0.1872577324330853,1131352.5483871,6.0535979594443345
be alright dean lewis,Dean Lewis,Pop,0.5116304707309006,0.511350911126947,0.7101767452200978,0.015695549344227042,0.599795833058003,0.19406700549735503,0.3868321413546487,0.48228643071578925,1056038.96470588,6.023679942671809
be careful cardi b,Cardi B,Rap,0.8318818211884026,0.5602158200142522,0.7291018230324589,0.4098043431520104,0.02623740544821945,0.07592573384503683,0.5177745056794278,0.6312443207306272,1179074.0,6.071541062756784
be the one dua lipa,Dua Lipa,Pop,0.648329842354757,0.6487834673724932,0.8532681191640729,0.02805848204687164,0.11853765762142433,0.035369774919614155,0.3594867480016828,0.25882515326838357,599887.111111111,5.778069530993205
beach house the chainsmokers,The Chainsmokers,Pop,0.3605997133722853,0.8391530082459533,0.8332592263228101,0.03096108363792733,0.17628863867381375,0.3309822632507002,0.5330248212031974,0.79072108029768,831105.0,5.919655895071617
beat it michael jackson,Michael Jackson,Other,0.7806195568294566,0.8096304591265397,0.8043297020898177,0.023328316491077188,0.036369156510042154,0.183694637485738,0.9326882625157762,0.5551191064999599,610962.0,5.786014199271153
beautiful bazzi,Bazzi,Pop,0.6538419137912028,0.6752519596864502,0.7984659848821698,0.009460331111588902,0.21681564292110458,0.0788299968882896,0.15965502734539336,0.331025201578118,646867.1,5.810815063257039
beautiful trauma p!nk,P!nk,Pop,0.6229743137471062,0.6284230886694493,0.7811249444197421,0.03784132444635562,0.07740274831042412,0.3978840369256302,0.1859486748001683,0.3077560128365866,601501.5,5.7792367147031465
before i let go - homecoming live bonus track beyonc√£¬©,Beyonc√É¬©,Pop,0.7056553852937933,0.8432250839865622,0.8073310360160071,0.08019780692324233,0.06949998248220242,0.3309822632507002,0.4299537231804796,0.3480141248461565,854570.0,5.9317476426782925
before you go lewis capaldi,Lewis Capaldi,Pop,0.41461801344945426,0.5968645016797312,0.8299244108492663,0.04063642227477962,0.592703607314727,0.07509594440410745,0.1743794699200673,0.3989751434914135,1610551.42028985,6.206974595154869
behind barz - bonus drake,Drake,Rap,0.8621982140888546,0.5500356306627303,0.8277150955980436,0.15985809503332618,0.7700092508966245,0.05497355046157037,0.2637778712663021,0.5728528048401753,814010.452380952,5.910629981525842
bendiciones bad bunny,Bad Bunny,Rap,0.8324330283320471,0.5775221419118395,0.6826923076923077,0.052354332401634056,0.03829418921178847,0.08411990457421428,0.8590660496424064,0.5839669193342459,1473494.5,6.168348519131238
bes√£¬°ndote piso 21,Piso 21,Other,0.7177819424539742,0.8096304591265397,0.8202256558470431,0.03461621156740486,0.03495071136138698,0.15257753345088684,0.4941102229701304,0.3024016839393138,534088.176470588,5.727612963757534
best of me bts,BTS,Pop,0.6373056994818653,0.7556754555634735,0.8361216096042686,0.056331971619006674,0.030188788362330306,0.388030287314594,0.46992006731173747,0.4572401338869782,605234.5,5.7819236760143635
betrayed lil xan,Lil Xan,Rap,0.8269209568956013,0.4126030744171842,0.6702145397954646,0.15179531283594927,0.4214770143699233,0.0861943781765377,0.2637778712663021,0.44572631385224126,829649.814814815,5.918894820586484
better khalid,Khalid,Pop,0.6557711387939588,0.5561437442736435,0.6779401956425078,0.04969361427649968,0.07598430316176895,0.09708536458873561,0.10627892301220025,0.3195271972302419,1314521.92818808,6.118767835183081
better zayn,ZAYN,Pop,0.621871899459817,0.411585055482032,0.7597265451311694,0.29800043001505055,0.3576469826804402,0.11316253500674205,0.05732015145140933,0.24062273548119947,1137522.0,6.055959804789553
